destination_address,tokens_airdropped,current_balance,current_usd_value,percent_sold,status
Cpsj1hcaz5XEFb3uGBDnTAHKNr6Pg2pY3fJPkHiMJaFz,115000,6857644,120411,0,Accumulating
FbvnwyLq2WaXyQKTx1C3zquBbTzGU7QyBpN4TSE2UNUC,110000,0,0,1,Fully Sold/Transferred
EppTis6BBUNH3kvPSAyeRxhPVTzzahUPijd8c5L3tfca,100000,100000,1756,0,Holding
7MFNzuU2GkBykJzg6sNNQHApAFEG7FPLr5yRazqNvT1n,100000,50000,878,0.5,Partially Sold/Transferred
BtmvjDr24SmXQMS952CFjSEnjHeLgGuvRYVpV77Q8wQJ,100000,100000,1756,0,Holding
ADWM6h8fPpjeHk6tyV4jEdRPdRbV5mdNawNiYX4Ycrds,100000,75000,1317,0.25,Partially Sold/Transferred
7zvDR2ijiwxwsiWa1uSxdoL5LroaK3Qy5fUAUAG87cu8,100000,100379,1763,0,Accumulating
C51Q5dUtzABLxxoYyNgDWaDM9aJ21ByZYxuxDcxGAMfi,100000,100000,1756,0,Accumulating
oYqiaG2fBMkbj8MqnKLo6ahdy2UXnfGn4dPtWs5M7bD,100000,0,0,1,Fully Sold/Transferred
9KjaBdDUuTB81KTAvxV9fz8t7cTQLLnLrRLShJ4S8vZZ,100000,119850,2104,0,Accumulating
C7Ds4FQ1H9EnQrhNayFcs9wDb5t7HS8jrCh37Me9eYVy,100000,100000,1756,0,Holding
5JtTq7UXFpEJ3Je13AQVvZrxQMo44LrG54dmSHR2mpCJ,100000,29000,509,0.71,Partially Sold/Transferred
2K6VhA5xF9hqQEg76gJSZQgNYTH5oBh8ZMvvBHzsNTrS,100000,100000,1756,0,Accumulating
BBH7jwRdKyrSAefmRUheiZicQG1EBKofFaDoUrUVjXHz,100000,0,0,1,Fully Sold/Transferred
9jDmi7iqLeAbQH5Pe3BQJWLXD9GTKyb2Vm3NkNxBGNbc,100000,100000,1756,0,Holding
CmVPg7BAP3Ly5wxkA9aWvf2XpMQPoaypEd77XriP7N2Y,100000,100000,1756,0,Holding
7pVL5RU5wDe7G4aRALtv6kqftYLr46VY4eZudwXrnvcG,90000,60049,1054,0.333,Partially Sold/Transferred
HpbGQurKZdpX4ZeWcJa8ZFmM1uSLtVutBiZ12bonxtos,90000,90000,1580,0,Holding
BSzpGGB3AMwtW126RT3Z27STSBrVjKV5A96H4BsUKdtD,90000,90000,1580,0,Holding
2mvGhorGBGZ4TZgGyRQozFYvDj2xwvYjxjvfVXkyNyQM,85000,85000,1492,0,Holding
BdQTaAtBBtdDggJU95Hw5Qwpb3QGqJW1iDVRVkSZYbWC,85000,57200,1004,0.327,Partially Sold/Transferred
GB3cedtHn4erQ8kL1GfYsXYB3D6ii7MLXBEq3DgFuwZ3,82500,0,0,1,Fully Sold/Transferred
BGnpsmRFLrBBYqe1RY1XqNep2d385167CpWzpwYGAoKH,80000,80000,1405,0,Holding
4NbvPPLLuY7ab8iUXedLZZFF8XRj8epZK1WKtm9SmZbA,80000,0,0,1,Fully Sold/Transferred
DWJVBEW6i7nSmRUfQqxCwGKi8U7NAB9WoM9YWTrECA76,80000,80000,1405,0,Holding
Em2t5Le7VRu52atyQpWm8h88xXDw4tEE9GAeQiSGvNVA,75000,101,2,0.999,Partially Sold/Transferred
AMqGTSDRn51DcQcLW6YUkPUcEPyf9nMCVKTZ3ezVxDdW,75000,9007,158,0.88,Partially Sold/Transferred
5iZvwfoMdnxXpPGw9hBKEz3tHv2jYG3TgExHDsWrpTyV,75000,104703,1838,0,Accumulating
BLUymCdbrhSP3zQgGmsc2Yez5AyjZSh2BgH2NdM1xRBd,75000,0,0,1,Fully Sold/Transferred
3BLjRcxWGtR7WRshJ3hL25U3RjWr5Ud98wMcczQqk4Ei,75000,1476745,25930,0,Accumulating
E7pskdV9xCCMXtsu747tjjFEMq9Fwwnvwo6fApQWBwxP,75000,0,0,1,Fully Sold/Transferred
9zvu8poieSXgzEjgAmbVus3bQEYWVYiJB9vKAPqx5vjH,75000,2000029,35118,0,Accumulating
9XFxcvb3NpLxM9dpYEFZbwK9YBNLBh6DC7XyzaSYJzz7,75000,0,0,1,Fully Sold/Transferred
HNozKLoXu3UL41ekFavzuSoLu7KEjj5wTYj3khwMifyd,72000,176739,3103,0,Accumulating
7FBJEubxFDAJdDWrGwTAF6BcT7N7aB6NFTkdm5bhDxd2,72000,0,0,1,Fully Sold/Transferred
6HJGj5h4nHshYs3frVq9MjrGxX385kj3YkaTThTJsjsq,72000,3209204,56349,0,Accumulating
8Wj51LtKKsCvjamGJnUXB281uvqm5PhwwmUS4ztdPdyh,70000,0,0,1,Fully Sold/Transferred
GvrPz54rxxMLixnBNAFjVYkBzBpCVkACpEqDnwcibPac,70000,0,0,1,Fully Sold/Transferred
7kv9yetHjrsmnmfAZfH8UUq6cLV9xV5wegn67DMxrwJB,70000,42500,746,0.393,Partially Sold/Transferred
H6YVqfjKrQiy69AnsMfTMBCebk1F6FMmjWs7qHEpLxyF,70000,75000,1317,0,Accumulating
EKFdYEYXJSsB4qTLuBLYhDftabP56M2r3sdvoqKiV7CW,70000,70000,1229,0,Holding
HGpvad3VEVHATweTEm8FYheKTtLriZEiYXHZEzdQHpL4,70000,1561391,27416,0,Accumulating
CD3SpD4upBmmbZtZE5fohVN2dE3HFrmXTjT2XT1ngyLq,70000,57000,1001,0.186,Partially Sold/Transferred
64w4qRu9VGio7U1Asc6B68QDpS8L1McmSn2yyExC6Fii,70000,70000,1229,0,Holding
4rAYJ5wanB6w8pFrfwjEZo6zxGGYrNSUF84VxjffKNuh,70000,0,0,1,Fully Sold/Transferred
Hhr9ENKwvrp9JYktWRLuMKsG1dWcoSqW4Cd6Vyafv1nS,70000,47707,838,0.318,Partially Sold/Transferred
7DoMGTsDFHNSkeeb22Zn3pji3Ne8Uh9eZLKTEkJrTyKX,60000,0,0,1,Fully Sold/Transferred
AuPp4YTMTyqxYXQnHc5KUc6pUuCSsHQpBJhgnD45yqrf,60000,0,0,1,Fully Sold/Transferred
C9kerFv2Bo5pGEw8czvRV8jGXabUTty8GggBrxWY9ESV,60000,0,0,1,Fully Sold/Transferred
4nBfdKEykGrmbxbFHu7tRmDqPUnP1LJcLeXJe7tcF6t3,60000,0,0,1,Fully Sold/Transferred
2bVXAo7Zn82t3ThyrfmTQgbY6rG7yD2WiM6eCPKgUvmi,60000,60000,1054,0,Holding
ANVFyjrxGtAKd1Kgf2MhVma9BUsNA2eKmsVMCzhAWik4,60000,0,0,1,Fully Sold/Transferred
EV3uN9nFZEUB3z4WB5pxTzhERiziZDxjkxdjzUgCqZW9,55000,0,0,1,Fully Sold/Transferred
FNzQhXqumRTWn3S5pLSxpnw8VDM1eWACUy6ejmsbNxbq,55000,55000,966,0,Holding
CPnTiY3Yik6UNezffCG8bWXHMeKN5F3wHonpvYdgHU3n,50000,50531,887,0,Accumulating
98hxKE8FcJZmQYZgb6ihzZy8VaGRk8rWrNZ3fYmuuWEj,50000,2250,40,0.955,Partially Sold/Transferred
E2XpeKfuCfJ2k73ZBXF4nzWVFLHzsaU6ZChn2hTvsEuB,50000,12500,219,0.75,Partially Sold/Transferred
J2Ni61di8g38bPAhuncuCvgw5Z7rr5k1ZU68s3XwRaZe,50000,0,0,1,Fully Sold/Transferred
3yHq9S9xd8GePLqi5VmbJfffN7Bo9vRQtDNQN1UD8RSP,50000,77,1,0.998,Partially Sold/Transferred
BKYYNoYNEmDNB4kgqQ12jHHEmGpLFK9hgjsBUjt3Cu6i,50000,0,0,1,Fully Sold/Transferred
C4mDzBE1tU1JgkE53srVSEqqMcxNp3SnasCFqPD4h1Ds,50000,0,0,1,Fully Sold/Transferred
BPDC4ugGmG4bbG6k1eJSrGjw2bwreRjRuxp2ixi2Nnyw,50000,34194,600,0.316,Partially Sold/Transferred
59VpVyro5goqxkvbo6HqDShBdsuk1yLxCgJJPhYguUQv,50000,0,0,1,Fully Sold/Transferred
DdcgdmjAq1F5XBAeMdHgAqqiEXXko1GAMnsnd4RzBhSi,50000,50000,878,0,Holding
7mjiedwGbxCjUH3sn1jEcj8vTLiergrPZYmjKrAKubiC,50000,21367,375,0.573,Partially Sold/Transferred
5ED73iSPRQ5w897Y4yvGg49Tby1qgzeRYNnFyD8XreTk,50000,0,0,1,Fully Sold/Transferred
FCziEFnbjtqAPM4iiTpktqcxkQomDpwFhXTi7cQZ6Qcu,50000,0,0,1,Fully Sold/Transferred
4h3iBS4VHJewd8zjBDsdbAK8yQSKfoWWJtAHcoZVeWmq,50000,40000,702,0.2,Partially Sold/Transferred
6oZY9xQk6podJgPCSW2fNZCNnjfU6h449PmPGgn6dBSw,45000,0,0,1,Fully Sold/Transferred
8K4x2JrVEahRjAbVwsyioqZ3HMVCwVpPdLWvHGkZC4SW,45000,42500,746,0.056,Partially Sold/Transferred
EvdJRiD1LrsBNQYVXRfWMdLmjYYAmaH3tkqRcRuUbrhV,40000,40000,702,0,Holding
H76MXffyWvTHr9KfYTsPCr2ja2KBeutUtijY2NckGr7Y,40000,202,4,0.995,Partially Sold/Transferred
6Hcp4g4BDt3c1GDw2iGS6bPT26S7U3WwG3V8aPaiyv9s,40000,33000,579,0.175,Partially Sold/Transferred
DtVJcWpuiJ8WGW8WnpnUBt3nTAXWNKaMqZ2M1Yh4ju2h,40000,0,0,1,Fully Sold/Transferred
862ujMXKooH8SBkovLw8Nuf3uAw4YqT6Emvxf2QZrbZH,40000,0,0,1,Fully Sold/Transferred
31GuvCAugnRcaBsvdwYJ3z2nyiwHcf32trUoqwrozp69,40000,0,0,1,Fully Sold/Transferred
6fRu1KMKr4sT8aWdbcm3GBk7sMZSEBk4a16NDSPAjzEM,40000,180791,3174,0,Accumulating
EYG3urvLQyKx65LYCL67tbAMnsNAfJUbBKRFWpTBbK6G,40000,57584,1011,0,Accumulating
27Cm2ai2x7VdX5Hcg7zfU4oS2AFziWrwwj5weSWwGzKs,40000,0,0,1,Fully Sold/Transferred
FnPexeZtieARisBrxMABRrBWzDva5ok2QdgBPDPw9hKR,40000,0,0,1,Fully Sold/Transferred
EeVi7FsTi3DBQHL3aEUrgR2CHgpuY5NvwbjrTmnfFMNM,38000,40000,702,0,Accumulating
8N8PUnfrBKQgX4v23wGKNvkmmrYbMBkMRisaQJWMDJkX,38000,0,0,1,Fully Sold/Transferred
4CYZSfiZwVsRYZBHcGZwCoXi5J3jrXckFZhWPw5Z9h2R,35000,35000,615,0,Holding
79t56uz97mX6TZb8cZT8SZ5yZhTtWXbmY9CJDbuiGzox,35000,45863,805,0,Accumulating
GqFgMUkKMVCLQgYtLvePh2TZZv28XVDZySz1RNYdakyG,35000,98248,1725,0,Accumulating
89SLWPMaWpRNaF1LD4fBFXgbyreyMfZ9Pjjx5hxfp7bD,35000,25000,439,0.286,Partially Sold/Transferred
5AhbfS3SQ3CbhPsozY4v9RxHqhkL2D716cErLkog4cBD,33000,0,0,1,Fully Sold/Transferred
4AD1wMsXd3toFjdT31yung8MXd6HY7xbfoMFngYHzQ34,32500,30000,527,0.077,Partially Sold/Transferred
DKruQSdgkHviJfGKGuLM5cLmKzFoeE56tQNrsLLih8rn,30000,30841,542,0,Accumulating
6xPJ1b7Y6HEN4ALNaxurdDXQaocEhFAdrtGL4cRdtKTf,30000,0,0,1,Fully Sold/Transferred
AvPoU9DqijgwBd1iJJkZpSTyoac7WogVbEHMzZDyAtX6,30000,2700,47,0.91,Partially Sold/Transferred
FF7R8zxniXNJP3DmMQmBvKUcfmt7Z3SQ4PivTNVzMjzb,30000,30000,527,0,Holding
Gu3eCYgXkcXugpQoGqdj7X5pi1PVStcAokbpa3MGZgLc,30000,10000,176,0.667,Partially Sold/Transferred
5gNQfafEpq6Wn9FBVLpykwUvpDgjCk5xkwkUtzg6XZNC,30000,30000,527,0,Holding
B8mPU8jpaJHgjrvNv1acy1HvFc85BadY4Fxc7H1tcqMx,30000,23915,420,0.203,Partially Sold/Transferred
GFR4VV939FsvSzfrXVJacQpwBSnjddV1xh3jfCByeBPv,30000,0,0,1,Fully Sold/Transferred
Dts9ARn6bxxqVJ3z3EJwmqE95rVyJY9ZC5DWNn8Tdrzq,30000,0,0,1,Fully Sold/Transferred
8iyReQez8ED5ptzJ3rPAs3MAvEJNTa8ko4gW2t9ND2TW,25500,25500,448,0,Holding
35nFeyyZa9ceGUkQDozFgrazJwiYELdGbbfqiydqV75R,25000,3950,69,0.842,Partially Sold/Transferred
3zAZiavbrPNkQNZuSiSc3Ct7re3VDKjYVL9hJFKiEqMK,20000,0,0,1,Fully Sold/Transferred
2hzBJ9ujTZUsvSaG1Duw2YZc8QKYCx3KWJCrFtwZLHUW,20000,32,1,0.998,Partially Sold/Transferred
9hP8zmchAnooafCR9KmK2fepkUXTvtQyWGtSjpsmpvZF,19000,0,0,1,Fully Sold/Transferred
GoJAqhWNrzhAbUqpXb9jfMtZysA2AEskdKFPq841r6At,17500,0,0,1,Fully Sold/Transferred
